,participants,variables
0,P01,7.2307398510723715
1,P01,2.907365691143241
2,P01,-2.6150157613604392
3,P01,-8.14839932318398
4,P01,-7.4467375628256605
5,P01,-6.855381500563183
6,P01,-6.213446177048411
7,P01,-5.446163303486088
8,P01,-4.619373129280547
9,P01,-3.8670776594648117
10,P01,-3.29614973941473
11,P01,-2.9783121816387563
12,P01,-2.9101024774944193
13,P01,-3.044790267106805
14,P01,-3.325488323681384
15,P01,-3.691599537164649
16,P01,-4.090770689652203
17,P01,-4.505688497151539
18,P01,-4.9380791555055055
19,P01,-5.3705104789645475
20,P01,-5.759203567536673
21,P01,-6.008478023852916
22,P01,-5.996495436251394
23,P01,-5.662414940350942
24,P01,-4.9924839359936755
25,P01,-4.030664284759226
26,P01,-2.9011510655235924
27,P01,-1.7909254508361698
28,P01,-0.918630975713981
29,P01,-0.4569644327688138
30,P01,-0.5270591522211134
31,P01,-1.1751358799482858
32,P01,-2.406250446862657
33,P01,-4.207509700197136
34,P01,-6.336675885436421
35,P01,-8.359335342450933
36,P01,-9.964114017687507
37,P01,-11.010491202223477
38,P01,-11.491786438843505
39,P01,-11.536523212691108
40,P01,-11.295886195471041
41,P01,-10.880795659256108
42,P01,-10.380107489915673
43,P01,-9.8549516208993
44,P01,-9.335669727168792
45,P01,-8.825612833785456
46,P01,-8.287693085481749
47,P01,-7.6527861411673115
48,P01,-6.873715690424419
49,P01,-5.9652257446695245
50,P01,-5.009923734627051
51,P01,-4.113952554857661
52,P01,-3.4366931879107483
53,P01,-3.16662304377175
54,P01,-3.3674271275867937
55,P01,-3.9508819157417747
56,P01,-4.761116285052907
57,P01,-5.599268794755858
58,P01,-6.37155391659617
59,P01,-7.06208075526493
60,P01,-7.693515874678269
61,P01,-8.339649454044547
62,P01,-9.077893588401395
63,P01,-9.861042220329765
64,P01,-10.570038583271923
65,P01,-11.098847033889626
66,P01,-11.394355960670964
67,P01,-11.543238988102729
68,P01,-11.772671256468357
69,P01,-12.338243089102093
70,P01,-13.405240857958432
71,P01,-14.932580923563535
72,P01,-16.760484262421357
73,P01,-18.547005008954343
74,P01,-19.855619855149328
75,P01,-20.30796061418117
76,P01,-19.834726995194487
77,P01,-18.71751769598461
78,P01,-17.33825449471186
79,P01,-16.015969119604506
80,P01,-14.972297296604836
81,P01,-14.331661611261808
82,P01,-14.084159887822707
83,P01,-14.133188538312993
84,P01,-14.396634961263146
85,P01,-14.773672676878618
86,P01,-15.15855421570599
87,P01,-15.445741414477808
88,P01,-15.591032033069922
89,P01,-15.614691201551992
90,P01,-12.794023420729673
91,P01,-6.319946073343303
92,P01,-0.9356925018426807
93,P01,3.197406343722193
94,P01,6.055635021321379
95,P01,7.700487846604801
96,P01,8.222909472298184
97,P01,7.786819427570251
98,P01,6.5252739016976165
99,P01,4.541382893101201
100,P01,3.1860120111921617
101,P01,1.271707538259264
102,P01,-1.5271428020516424
103,P01,-5.108378164110377
104,P01,-9.414221927190823
105,P01,-12.38155454921693
106,P01,-12.37304118810944
107,P01,-12.040386128153926
108,P01,-11.206808466055989
109,P01,-9.77908558500485
110,P01,-7.766917754402911
111,P01,-5.253247358507338
112,P01,-2.4836332735397946
113,P01,0.05239279400583996
114,P01,1.7719125885290339
115,P01,2.1279315555948273
116,P01,1.0363716759049737
117,P01,-1.0259612622348868
118,P01,-3.1989211751424165
119,P01,-4.990200802344418
120,P01,-6.117559857824418
121,P01,-6.493138001336675
122,P01,-6.131722582172358
123,P01,-5.093217025607814
124,P01,-3.475544656092808
125,P01,-1.5089200302985262
126,P01,0.5384736495513351
127,P01,2.3731430704936542
128,P01,3.7069227746152364
129,P01,4.33638239391135
130,P01,4.125930472716334
131,P01,3.0458895605383276
132,P01,1.0940180015749377
133,P01,-1.6859266267093602
134,P01,-5.153611687588693
135,P01,-8.688186101893152
136,P01,-11.633411162035486
137,P01,-13.64962839373446
138,P01,-14.701387038258105
139,P01,-14.90091026953597
140,P01,-14.519909721193457
141,P01,-13.807585091865548
142,P01,-12.924710836364852
143,P01,-11.988731357612522
144,P01,-11.107693945773107
145,P01,-10.327909264254771
146,P01,-9.636266095966334
147,P01,-8.939628240550078
148,P01,-8.128929671431408
149,P01,-7.102597754570155
150,P01,-5.809048215281393
151,P01,-4.329056266012287
152,P01,-2.8730934332632216
153,P01,-1.7235565096471674
154,P01,-1.1380865225054038
155,P01,-1.2490168292998476
156,P01,-2.0465920616559288
157,P01,-3.335731726356471
158,P01,-4.834164266894604
159,P01,-6.254116335663539
160,P01,-7.446592690368902
161,P01,-8.371455213777622
162,P01,-9.039855950438422
163,P01,-9.569427252990039
164,P01,-10.066596841506168
165,P01,-10.503402614618665
166,P01,-10.874197914165975
167,P01,-11.180578200114155
168,P01,-11.414576616241163
169,P01,-11.655077703792387
170,P01,-12.016034069107917
171,P01,-12.624045835583175
172,P01,-13.618960984385097
173,P01,-14.949368888002596
174,P01,-16.57024343663869
175,P01,-18.397273111705374
176,P01,-20.149693578604413
177,P01,-21.48943897237153
178,P01,-22.14392209364175
179,P01,-22.063584616148304
180,P01,-21.32423738057841
181,P01,-20.224608180013405
182,P01,-19.065282128281666
183,P01,-17.917301680440744
184,P01,-16.776263590692295
185,P01,-15.780441733632799
186,P01,-15.001589670346917
187,P01,-14.455793280571015
188,P01,-14.075263314875158
189,P01,-13.829010825164616
190,P01,-13.62551116045833
191,P01,-13.409354659472356
192,P01,-13.201853989108002
193,P01,-13.050175820677111
194,P01,-10.788726976326998
195,P01,-6.840243223600851
196,P01,-3.8953885420866072
197,P01,-2.015546817147822
198,P01,-1.2569842273371563
199,P01,-1.5311518671525164
200,P01,-2.6789770016399643
201,P01,-3.637094440035341
202,P01,2.812423215915402
203,P01,0.16979345173655247
204,P01,-3.366480100628351
205,P01,-7.52753384175405
206,P01,-11.977214652226394
207,P01,-14.067829804673693
208,P01,-13.5399597509047
209,P01,-12.940664598015672
210,P01,-12.310220597697992
211,P01,-11.709264054964436
212,P01,-11.215893784871994
213,P01,-10.882710399714412
214,P01,-10.713723573980516
215,P01,-10.709455117501136
216,P01,-10.873511202714752
217,P01,-11.217123185712879
218,P01,-11.769457659532861
219,P01,-12.299619296667743
220,P01,-12.591070226896761
221,P01,-12.530957397602435
222,P01,-12.052054844325681
223,P01,-11.120266463110468
224,P01,-9.72486868859221
225,P01,-7.832977741328747
226,P01,-5.5156466302003935
227,P01,-3.0078187494844286
228,P01,-0.6237518715989836
229,P01,1.3410714623993272
230,P01,2.6916502574941035
231,P01,3.2922528728348794
232,P01,3.037694998618747
233,P01,1.9802645015010967
234,P01,0.10119419230809967
235,P01,-2.6385341855017828
236,P01,-6.003999739327654
237,P01,-9.400364685460204
238,P01,-12.200275681680381
239,P01,-14.079111958406116
240,P01,-15.041205732240655
241,P01,-15.236661392193724
242,P01,-14.85396915567388
243,P01,-14.129913595008802
244,P01,-13.211107855045142
245,P01,-12.186561823453616
246,P01,-11.150876493678851
247,P01,-10.176319987218875
248,P01,-9.263007366392259
249,P01,-8.328703710068368
250,P01,-7.276639246209314
251,P01,-6.040243983103878
252,P01,-4.651044431077608
253,P01,-3.2249251888655692
254,P01,-1.934282827888552
255,P01,-1.0256008326571049
256,P01,-0.734625104472201
257,P01,-1.2360567712628239
258,P01,-2.4771397510821345
259,P01,-4.131855677719656
260,P01,-5.831723568370506
261,P01,-7.258162411051316
262,P01,-8.241025140959508
263,P01,-8.750111677445346
264,P01,-8.919535512153772
265,P01,-9.017396445539788
266,P01,-9.180461845955705
267,P01,-9.489228841824229
268,P01,-9.993971434443523
269,P01,-10.653447362144021
270,P01,-11.491254927838895
271,P01,-12.59018885170984
272,P01,-13.928776463555323
273,P01,-15.57393167249677
274,P01,-17.472345389825648
275,P01,-19.4321508660248
276,P01,-21.209150180259144
277,P01,-22.420382345261515
278,P01,-22.842826143819664
279,P01,-22.319137175575264
280,P01,-20.919718898439783
281,P01,-19.00351311107444
282,P01,-17.019594463702703
283,P01,-15.3567933695779
284,P01,-14.202863164364203
285,P01,-13.510802084458561
286,P01,-13.229441967939408
287,P01,-13.353751418507244
288,P01,-13.810489102844798
289,P01,-14.472157814323765
290,P01,-15.166512618937006
291,P01,-15.745439164961283
292,P01,-16.122807257568155
293,P01,-16.32732123760897
294,P01,-15.872742444291632
295,P01,-10.164096003341967
